avg_system_price,camera_resolution,is_ai_analytics,storage_capacity,night_vision_range,monthly_cctv_sales
150,2,1,2,30,1467
220,1,0,1,20,843
120,4,1,4,50,2189
250,0.8,0,0.5,15,624
180,3,1,3,40,1822
200,2,0,2,25,987
100,5,1,5,60,2645
280,0.5,0,0.25,10,498
160,4,1,4,45,2312
230,1.5,0,1.5,22,915
90,6,1,6,70,3101
300,0.3,0,0.1,8,421
80,8,1,8,80,3827
210,2.5,0,2.5,35,1123
70,10,1,10,90,4553
320,0.2,0,0.05,5,385
60,12,1,12,100,5279
240,3.5,0,3.5,45,1349
50,14,1,14,110,6005
350,0.1,0,0.01,3,349
140,3,1,3,35,1988
260,1.2,0,1.2,18,876
130,5,1,5,55,2714
290,0.7,0,0.4,12,652
170,4.5,1,4.5,50,2478
270,1.8,0,1.8,28,1043
110,7,1,7,75,3435
310,0.4,0,0.3,9,517
190,3.5,1,3.5,42,2156
255,1.6,0,1.6,24,958
105,8.5,1,8.5,85,4161
330,0.6,0,0.2,7,584
95,9.5,1,9.5,95,4887
265,2.2,0,2.2,32,1215
85,11,1,11,105,5613
340,0.5,0,0.15,6,548
75,13,1,13,115,6339
360,0.3,0,0.08,4,472
65,15,1,15,125,7065
380,0.2,0,0.02,2,436
165,3.8,1,3.8,48,2294
285,1.4,0,1.4,21,927
155,4.8,1,4.8,58,2620
315,0.9,0,0.8,14,721
145,5.8,1,5.8,68,2946
335,0.7,0,0.6,11,685
135,6.8,1,6.8,78,3272
355,0.5,0,0.4,9,649
125,7.8,1,7.8,88,3598
375,0.4,0,0.3,7,613
115,8.8,1,8.8,98,3924
395,0.3,0,0.2,5,577
105,9.8,1,9.8,108,4250
415,0.2,0,0.1,3,541
95,10.8,1,10.8,118,4576
435,0.1,0,0.05,2,505
175,3.2,1,3.2,44,2068
295,1.1,0,1.1,19,898
168,4.2,1,4.2,54,2394
325,0.85,0,0.75,13,762
158,5.2,1,5.2,64,2720
345,0.65,0,0.55,10,726
148,6.2,1,6.2,74,3046
365,0.45,0,0.35,8,690
138,7.2,1,7.2,84,3372
385,0.35,0,0.25,6,654
128,8.2,1,8.2,94,3698
405,0.25,0,0.15,4,618
118,9.2,1,9.2,104,4024
425,0.15,0,0.07,3,582
108,10.2,1,10.2,114,4350
445,0.12,0,0.03,2,546
185,3.4,1,3.4,46,2132
305,1.3,0,1.3,23,974
178,4.4,1,4.4,56,2458
335,0.95,0,0.85,16,838
168,5.4,1,5.4,66,2784
355,0.75,0,0.65,12,802
158,6.4,1,6.4,76,3110
375,0.55,0,0.45,9,766
148,7.4,1,7.4,84,3436
395,0.25,0,0.15,6,618
138,8.4,1,8.4,94,3762
415,0.15,0,0.07,4,582
128,9.4,1,9.4,104,4088
435,0.12,0,0.03,3,546
118,10.4,1,10.4,114,4414
455,0.1,0,0.02,2,510
195,3.6,1,3.6,48,2196
315,1.5,0,1.5,27,1050
188,4.6,1,4.6,58,2522
345,1.05,0,0.95,18,886
178,5.6,1,5.6,68,2848
365,0.85,0,0.75,14,850
168,6.6,1,6.6,78,3174
385,0.65,0,0.55,11,814
158,7.6,1,7.6,88,3500
405,0.45,0,0.35,9,778
148,8.6,1,8.6,98,3826
425,0.35,0,0.25,7,742
138,9.6,1,9.6,108,4152
445,0.25,0,0.15,5,706
128,10.6,1,10.6,118,4478
465,0.2,0,0.1,3,670
118,11.6,1,11.6,128,4804
485,0.15,0,0.05,2,634
205,3.8,1,3.8,52,2260
325,1.7,0,1.7,30,1126
198,4.8,1,4.8,62,2586
355,1.25,0,1.15,23,962
188,5.8,1,5.8,72,2912
375,1.05,0,0.95,19,926
178,6.8,1,6.8,82,3238
395,0.85,0,0.75,16,890
168,7.8,1,7.8,92,3564
415,0.65,0,0.55,13,854
158,8.8,1,8.8,102,3890
435,0.45,0,0.35,10,818
148,9.8,1,9.8,112,4216
455,0.35,0,0.25,8,782
138,10.8,1,10.8,122,4542
475,0.25,0,0.15,6,746
128,11.8,1,11.8,132,4868
495,0.2,0,0.1,4,710
215,4.0,1,4.0,55,2324
335,1.9,0,1.9,33,1202
208,5.0,1,5.0,65,2650
365,1.45,0,1.35,26,1038
198,6.0,1,6.0,75,2976
385,1.25,0,1.15,22,1002
188,7.0,1,7.0,85,3302
405,1.05,0,0.95,19,966
178,8.0,1,8.0,95,3628
425,0.85,0,0.75,16,930
168,9.0,1,9.0,105,3954
445,0.65,0,0.55,13,894
158,10.0,1,10.0,115,4280
465,0.45,0,0.35,10,858
148,11.0,1,11.0,125,4606
485,0.35,0,0.25,8,822
138,12.0,1,12.0,135,4932
505,0.25,0,0.15,6,786
225,4.2,1,4.2,58,2388
345,2.1,0,2.1,36,1278
218,5.2,1,5.2,68,2714
375,1.65,0,1.55,29,1114
208,6.2,1,6.2,78,3040
395,1.45,0,1.35,25,1078
198,7.2,1,7.2,88,3366
415,1.25,0,1.15,22,1042
188,8.2,1,8.2,98,3692
435,1.05,0,0.95,19,1006
178,9.2,1,9.2,108,4018
455,0.85,0,0.75,16,970
168,10.2,1,10.2,118,4344
475,0.65,0,0.55,13,934
158,11.2,1,11.2,128,4670
495,0.45,0,0.35,10,898
148,12.2,1,12.2,138,4996
515,0.35,0,0.25,8,862
235,4.4,1,4.4,60,2452
355,2.3,0,2.3,38,1354
228,5.4,1,5.4,70,2778
385,1.85,0,1.75,31,1190
218,6.4,1,6.4,80,3104
405,1.65,0,1.55,27,1154
208,7.4,1,7.4,90,3430
